Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1782;0.0100452328617402;0.0287289868579627;0.0471799485164475;0.00660843662646754;0.00715997090655184;0.36725;0.17644;0;0;59554;4075.37;3747;0;230.4;0;3747;230.4;55807;3844.97
1783;0.0139834223895399;0.0326690754662841;0.0545698740953436;0.01328670633336;0.00943168392877924;0.36852;0.24595;0;0;67257;4805.29;4443;0;296.8;0;4443;296.8;62814;4508.49
1784;0.019125696561216;0.0356136337446198;0.0595595857471496;0.0215254380640524;0.0159465832654486;0.35696;0.32353;0.0120270385948944;0;69338;5017.67;5239;314;372;0.24;5553;372.24;63785;4645.43
1785;0.0194006286558585;0.0364453542611191;0.0605982121135795;0.0296087708649469;0.0270773513324799;0.34158;0.39028;0.0660070662070974;0.0128197999130057;69164;4995.44;5816;1977;452.6;9.55;7793;462.15;61371;4533.29
1786;0.0113736454348574;0.025941176241033;0.051028099172166;0.0383422813673029;0.0450393971837542;0.33366;0.45129;0.125524167262346;0.0434306263592866;69758;5029.28;6155;4093;552.1;27.34;10248;579.44;59510;4449.84
1787;0.0109782160422612;0.021102086312769;0.0425952369821839;0.047034151425605;0.0639007331548935;0.31504;0.49588;0.16423217370373;0.0720235058721183;70282;4979.42;5671;5665;573.1;40.11;11336;613.21;58946;4366.21
1788;0.012545177606412;0.0228956328263989;0.0385717366379527;0.054687510981551;0.0760439683463284;0.29178;0.50838;0.162995989865283;0.0704573031752936;69781;4889.45;5026;6069;593.6;39.24;11095;632.84;58686;4256.61
1789;0.0115161592486895;0.0267457214347202;0.0373552818161973;0.0624917678300455;0.0855327790061678;0.26936;0.49536;0.151535535529677;0.046401765985211;69246;4838.02;4285;5152;631;26.78;9437;657.78;59809;4180.24
1790;0.0100198886797417;0.0368180639311334;0.0391370456568099;0.0701132345659292;0.0981479820784359;0.24216;0.45925;0.114759066335867;0.0190773727707699;68375;4864.77;3726;3166;768;10.17;6892;778.17;61483;4086.6
1791;0.0146334841216832;0.0660597215494979;0.0461741501519655;0.0778893075632937;0.117430302571861;0.2174;0.40522;0.0545208580415237;0.00549859069160504;67758;4889.73;4047;943;817.9;0.82;4990;818.72;62768;4071.01
1792;0.0403174552188961;0.123014483328551;0.0662513508975199;0.0807429318744509;0.138656303968346;0.19619;0.32924;0.00612941153230167;0;66371;5152.97;4720;30;967.6;0.01;4750;967.61;61621;4185.36
1793;0.06930525431619;0.176390180315638;0.0871681778247947;0.0795401285839789;0.148170519027115;0.17288;0.26798;0;0;71706;5425.68;5439;0;1080;0.01;5439;1080.01;66267;4345.67
1794;0.0886594134434392;0.206355033342898;0.100846442933186;0.0774405171312196;0.150828562783661;0.15069;0.22368;0;0;71298;5180.68;5738;0;1160.7;0.01;5738;1160.71;65560;4019.97
1795;0.105321575282855;0.210498862898135;0.104481523080281;0.0718145259963262;0.141691927150006;0.13166;0.18813;0;0;69509;4844.58;5778;0;1309.8;0.01;5778;1309.81;63731;3534.77
1796;0.114247824194952;0.197328775781923;0.101256179638305;0.061748897052951;0.126083783311998;0.11026;0.15139;0;0;65609;4592.39;5914;0;1297;0.01;5914;1297.01;59695;3295.38
1797;0.117516527415144;0.175527030703013;0.0942678821889745;0.0488895974762399;0.108322657977423;0.09101;0.11072;0;0;61738;4284.7;5962;0;1183.7;0;5962;1183.7;55776;3101
1798;0.10850760337604;0.155806040860832;0.0843190405521133;0.0379755997923489;0.0968322134295357;0.08376;0.07777;0;0;58750;3926.1;5857;0;1042.7;0;5857;1042.7;52893;2883.4
1799;0.100684703382112;0.138389977388809;0.0765191257199469;0.027990380161329;0.0865382392645176;0.07753;0.04942;0;0;53661;3522.94;5676;0;886.4;0;5676;886.4;47985;2636.54
1800;0.097427712065092;0.118938980086083;0.0667683610565379;0.0189267426723105;0.0782802606772955;0.06581;0.03489;0;0;49793;3278.16;5458;0;771.1;0;5458;771.1;44335;2507.06
1801;0.0929608104114801;0.101478549555237;0.0558967277551089;0.0133899756409233;0.0716219585709298;0.04839;0.02114;0;0;47681;3161.39;4944;0;696.5;0;4944;696.5;42737;2464.89
1802;0.0794732558139535;0.0845079833572453;0.0438958638187833;0.00976473484545963;0.0693579785872222;0.0289;0.01364;0;0;46786;3104.06;4494;0;665.8;0;4494;665.8;42292;2438.26
1803;0.0741016981399397;0.0731175807173601;0.0340397832518933;0.00845884833479754;0.0764220563249156;0.00942;0.01052;0;0;47392;3101.1;4102;0;646.5;0;4102;646.5;43290;2454.6
1804;0.0815720571983727;0.0647385318794835;0.0242415495441036;0.00716017011420813;0.0835006458745491;0.00133;0.01006;0;0;48921;3179.47;3673;0;613.5;0;3673;613.5;45248;2565.97
1805;0.0942617756593195;0.055901147661406;0.0160381546185751;0.00831307283763278;0.0906882078435936;0.00017;0.01098;0;0;51898;3427.53;3359;0;592.3;0.01;3359;592.31;48539;2835.22
1806;0.106179079482664;0.0511764340889527;0.0115996509663661;0.0152944445331843;0.106488001861981;0.00007;0.01408;0;0;59915;4107.88;3072;0;627.1;0.01;3072;627.11;56843;3480.77
1807;0.115705069929362;0.0458119513342898;0.00963205077829832;0.0245311612491015;0.125745827999534;0.00006;0.02756;0;0;67164;4757.46;2918;0;661.4;0.01;2918;661.41;64246;4096.05
1808;0.118071141133847;0.0403604503873745;0.00873150756469028;0.0376140647711844;0.136818347492145;0.0006;0.0592;0.0111771622059619;0;69714;5036.98;2845;252;603.5;0.06;3097;603.56;66617;4433.42
1809;0.102511441698545;0.0325380834433286;0.00757646731482881;0.0520986326970689;0.135756329570581;0.00477;0.09135;0.04555852521278;0.0148929360591562;69373;4967.85;2538;1286;571.7;5.05;3824;576.75;65549;4391.1
1810;0.0603613392839071;0.021692387374462;0.00639339529494736;0.0593715701621276;0.128688380076807;0.01265;0.12189;0.0947483404509993;0.0197814810787299;69723;5028.28;2029;2645;504.1;18.37;4674;522.47;65049;4505.81
1811;0.0313277648916145;0.0127064184791966;0.0049657430524071;0.0621034194553151;0.119279241242872;0.01928;0.14262;0.14326855611006;0.0239374423662462;70327;4998.7;1518;3858;579.6;24.77;5376;604.37;64951;4394.33
1812;0.0228004213977776;0.00650887506456241;0.00407695692912196;0.061189968452999;0.101951121843361;0.02406;0.15294;0.174585213350727;0.0267965680730753;69367;4887.02;1374;4276;571.5;29.98;5650;601.48;63717;4285.54
1813;0.0198807432145243;0.00359332533715925;0.00494282669219015;0.0642849408992892;0.0922369614802746;0.02967;0.15926;0.179555702534484;0.0292198651587647;68864;4909;1404;3617;584.6;26.81;5021;611.41;63843;4297.59
1814;0.0187156433298925;0.0025995581061693;0.00845275092774503;0.0745055678460187;0.0955634667752822;0.04052;0.17693;0.140667419283327;0.0203695824271422;67798;4856.36;1426;2178;566.7;18.02;3604;584.72;64194;4271.64
1815;0.0215878023357014;0.00308886737446198;0.0176213798465233;0.0911819255650507;0.108401274293029;0.07263;0.2195;0.074222537966779;0.00591914310569813;67527;4795.36;1547;736;560.3;2.61;2283;562.91;65244;4232.45
1816;0.0247030675815168;0.00456267718794835;0.0308068643057445;0.102051546601709;0.123492933783312;0.13966;0.28851;0.0053825504632397;0;69231;5067.92;2236;44;540.4;0.02;2280;540.42;66951;4527.5
1817;0.0266844123302366;0.00597190381635581;0.0439530815911877;0.104773344780768;0.134622669614803;0.24752;0.35443;0;0;71085;5346.83;2930;0;536.3;0;2930;536.3;68155;4810.53
1818;0.0251380723379278;0.00894861796269727;0.0540880026530989;0.108411381279451;0.135874945886186;0.36562;0.41261;0;0;70272;5127.31;3616;0;569.8;0;3616;569.8;66656;4557.51
1819;0.0211487639403323;0.0154236682926829;0.0608373795442715;0.108537290551873;0.130808651227743;0.45903;0.45669;0;0;68839;4833.99;4240;0;592.1;0;4240;592.1;64599;4241.89
1820;0.0189080357034428;0.0244154199139168;0.0642509352677447;0.107034429758007;0.122596135226347;0.51749;0.48032;0;0;65140;4562.76;4676;0;652.8;0;4676;652.8;60464;3909.96
1821;0.0218686935049689;0.0375235779626973;0.0678164360485618;0.102552746186407;0.120156987082509;0.55171;0.49046;0;0;61752;4290.89;5173;0;684.3;0;5173;684.3;56579;3606.59
1822;0.0295046416499686;0.0511760036728838;0.0768979942236327;0.104987859595879;0.125378005353194;0.58156;0.5083;0;0;58141;3912.93;5553;0;699.2;0;5553;699.2;52588;3213.73
1823;0.0370096808144595;0.0689392548637016;0.0888483878561953;0.107859417378804;0.139538455719772;0.59533;0.52568;0;0;53244;3535.28;5654;0;709.7;0;5654;709.7;47590;2825.58
1824;0.0464528967555205;0.0876341256814921;0.100529386361728;0.110911071799377;0.147689032933783;0.6044;0.53887;0;0;49360;3282.45;6270;0;759.9;0;6270;759.9;43090;2522.55
1825;0.0565214340073269;0.109377056757532;0.111373960035599;0.124576691558182;0.152738567438613;0.61238;0.55709;0;0;47328;3268.55;6533;0;847.8;0;6533;847.8;40795;2420.75
