"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","22.05.2018 17:00 - 22.05.2018 18:00 (CET)","343","n/e","n/e","3192","0","0","n/e","n/e","n/e","1","","5","n/e","n/e","2991","703","n/e","609","186","276","213"
"BZN|BE","22.05.2018 18:00 - 22.05.2018 19:00 (CET)","354","n/e","n/e","3101","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2987","696","n/e","350","189","313","239"
"BZN|BE","22.05.2018 19:00 - 22.05.2018 20:00 (CET)","366","n/e","n/e","3192","0","0","n/e","n/e","n/e","191","","6","n/e","n/e","2992","686","n/e","184","191","290","200"
"BZN|BE","22.05.2018 20:00 - 22.05.2018 21:00 (CET)","376","n/e","n/e","3187","0","0","n/e","n/e","n/e","47","","7","n/e","n/e","2994","653","n/e","83","195","297","109"
"BZN|BE","22.05.2018 21:00 - 22.05.2018 22:00 (CET)","378","n/e","n/e","3075","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2995","464","n/e","10","197","375","46"
"BZN|BE","22.05.2018 22:00 - 22.05.2018 23:00 (CET)","367","n/e","n/e","3114","0","0","n/e","n/e","n/e","142","","4","n/e","n/e","2994","417","n/e","0","197","407","67"
"BZN|BE","22.05.2018 23:00 - 23.05.2018 00:00 (CET)","370","n/e","n/e","2465","0","0","n/e","n/e","n/e","18","","4","n/e","n/e","2994","392","n/e","0","193","460","126"
"BZN|BE","23.05.2018 00:00 - 23.05.2018 01:00 (CET)","359","n/e","n/e","2111","0","0","n/e","n/e","n/e","0","","4","n/e","n/e","2994","407","n/e","0","192","426","137"
"BZN|BE","23.05.2018 01:00 - 23.05.2018 02:00 (CET)","362","n/e","n/e","1822","0","0","n/e","n/e","n/e","0","","4","n/e","n/e","2994","451","n/e","0","192","504","110"
"BZN|BE","23.05.2018 02:00 - 23.05.2018 03:00 (CET)","364","n/e","n/e","1905","0","0","n/e","n/e","n/e","0","","4","n/e","n/e","2994","442","n/e","0","194","528","127"
"BZN|BE","23.05.2018 03:00 - 23.05.2018 04:00 (CET)","367","n/e","n/e","1877","0","0","n/e","n/e","n/e","0","","4","n/e","n/e","2994","425","n/e","0","191","557","146"
"BZN|BE","23.05.2018 04:00 - 23.05.2018 05:00 (CET)","372","n/e","n/e","1848","0","0","n/e","n/e","n/e","0","","4","n/e","n/e","2994","443","n/e","0","194","637","147"
"BZN|BE","23.05.2018 05:00 - 23.05.2018 06:00 (CET)","373","n/e","n/e","1729","0","0","n/e","n/e","n/e","0","","4","n/e","n/e","2994","407","n/e","0","195","645","133"
"BZN|BE","23.05.2018 06:00 - 23.05.2018 07:00 (CET)","369","n/e","n/e","1915","0","0","n/e","n/e","n/e","0","","5","n/e","n/e","2995","456","n/e","20","196","643","107"
"BZN|BE","23.05.2018 07:00 - 23.05.2018 08:00 (CET)","369","n/e","n/e","2372","0","0","n/e","n/e","n/e","167","","5","n/e","n/e","2996","619","n/e","125","195","599","72"
"BZN|BE","23.05.2018 08:00 - 23.05.2018 09:00 (CET)","370","n/e","n/e","2422","0","0","n/e","n/e","n/e","356","","5","n/e","n/e","2999","694","n/e","277","196","498","82"
"BZN|BE","23.05.2018 09:00 - 23.05.2018 10:00 (CET)","371","n/e","n/e","2373","0","0","n/e","n/e","n/e","813","","6","n/e","n/e","2999","714","n/e","578","195","339","91"
"BZN|BE","23.05.2018 10:00 - 23.05.2018 11:00 (CET)","367","n/e","n/e","2375","0","0","n/e","n/e","n/e","773","","6","n/e","n/e","2999","726","n/e","845","192","168","93"
"BZN|BE","23.05.2018 11:00 - 23.05.2018 12:00 (CET)","371","n/e","n/e","2382","0","0","n/e","n/e","n/e","355","","6","n/e","n/e","2999","725","n/e","1162","188","132","89"
"BZN|BE","23.05.2018 12:00 - 23.05.2018 13:00 (CET)","372","n/e","n/e","2195","0","0","n/e","n/e","n/e","17","","6","n/e","n/e","3000","714","n/e","1404","187","176","88"
"BZN|BE","23.05.2018 13:00 - 23.05.2018 14:00 (CET)","371","n/e","n/e","1880","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2991","676","n/e","1661","185","219","89"
