Timestep,Load,LFS,LFW,ResidualLoad
6812,10921,0,0.19201616978271854,10541
6813,10681,0,0.28650833754421423,10114
6814,10054,0,0.36988377968671043,9322
6815,9465,0,0.3683678625568469,8736
6816,9326,0,0.4375947448206165,8460
6817,8654,0,0.3911066195048004,7880
6818,8354,0,0.2940879231935321,7772
6819,7830,0,0.3294593228903487,7178
6820,7954,0,0.31126831733198584,7338
6821,8006,0,0.25467407781707935,7502
6822,8174,0,0.2501263264274886,7679
6823,8869,0,0.2627589691763517,8349
6824,10347,0,0.3006568974229409,9752
6825,10547,0.027604630454140695,0.27943405760485096,9901
6826,10729,0.12971208073612348,0.2561899949469429,9785
6827,10833,0.26654793707331553,0.24759979787771602,9445
6828,10795,0.333926981300089,0.2132390096008085,9248
6829,10617,0.41317898486197685,0.22132390096008084,8787
6830,10684,0.4677945978035025,0.20565942395149064,8701
6831,10477,0.4562184624517661,0.23698837796867103,8471
6832,10359,0.3493618284357376,0.27589691763516927,8636
6833,10066,0.19649747699614128,0.2789287518948964,8852
6834,10405,0.09290590679726922,0.2248610409297625,9647
6835,10412,0.017215791035915702,0.2248610409297625,9909
6836,10575,0,0.3122789287518949,9957
6837,10510,0,0.35775644264780193,9802
6838,9724,0,0.37897928246589185,8974
6839,9496,0,0.3875694795351187,8729
6840,9327,0,0.3855482566953007,8564
6841,8649,0,0.41030823648307224,7837
6842,8218,0,0.38453764527539164,7457
6843,7847,0,0.39868620515411823,7058
6844,7543,0,0.29560384032339565,6958
6845,7459,0,0.30015159171298633,6865
6846,7332,0,0.24658918645780697,6844
6847,7504,0,0.23648307225871654,7036
6848,8097,0,0.2718544719555331,7559
6849,8549,0.02315227070347284,0.31834259727134917,7841
6850,9090,0.13475808845354706,0.3299646286003032,7983
6851,9422,0.3030572870287919,0.22587165234967155,7954
6852,9562,0.42920747996438113,0.1278423446184942,7863
6853,9495,0.4995547640249332,0.14754926730672058,7520
6854,9264,0.5212229148115167,0.1889843355229914,7134
6855,8987,0.4897595725734639,0.19151086407276402,6958
6856,8808,0.40813297714455327,0.20970186963112683,7018
6857,8725,0.26506381715642624,0.20818595250126326,7420
6858,8988,0.0943900267141585,0.1935320869125821,8287
6859,9332,0.011279311368358563,0.13845376452753916,9020
6860,9750,0,0.17028802425467407,9413
6861,9461,0,0.22637695805962607,9013
6862,8992,0,0.24810510358767054,8501
6863,8697,0,0.2597271349166246,8183
6864,8538,0,0.31884790298130367,7907
6865,8238,0,0.3213744315310763,7602
6866,7733,0,0.29560384032339565,7148
6867,7370,0,0.2450732693279434,6885
6868,7172,0,0.26478019201616976,6648
6869,7182,0,0.27235977766548763,6643
6870,7075,0,0.2900454775138959,6501
6871,7403,0,0.2718544719555331,6865
6872,7609,0,0.30520464881253156,7005
6873,7862,0.02018403086969427,0.34967155128852956,7102
6874,8238,0.13268032056990206,0.3057099545224861,7186
6875,8495,0.3089937666963491,0.2541687721071248,6951
6876,8363,0.44018996734936183,0.23496715512885297,6415
6877,8616,0.5084594835262689,0.35573521980798384,6199
6878,8465,0.5271593944790739,0.4244567963617989,5849
6879,8137,0.4761056693380825,0.3931278423446185,5755
6880,8166,0.3541110121697833,0.3638201111672562,6253
6881,8160,0.23211635500148411,0.2991409802930773,6786
6882,8541,0.10448204214900564,0.18342597271349168,7826
6883,9058,0.017809439002671415,0.1303688731682668,8740
6884,9597,0,0.15816068721576554,9284
6885,9640,0,0.22991409802930773,9185
6886,9166,0,0.2870136432541688,8598
6887,8862,0,0.31278423446184944,8243
6888,8528,0,0.29762506316321374,7939
6889,7925,0,0.28246589186457804,7366
6890,7642,0,0.2966144517433047,7055
6891,7314,0,0.30469934310257707,6711
6892,7144,0,0.2900454775138959,6570
6893,7306,0,0.31278423446184944,6687
6894,7786,0,0.35371399696816574,7086
6895,8601,0,0.34411318847902983,7920
6896,9980,0,0.30722587165234966,9372
6897,10407,0.01157613535173642,0.23900960080848913,9895
6898,10754,0.08370436331255565,0.21273370389085397,10051
6899,10832,0.19976254081329772,0.1616978271854472,9839
6900,11004,0.28168596022558623,0.12076806467913087,9816
6901,10843,0.38023152270703475,0.08135421930267812,9401
6902,10696,0.4660136539032354,0.07579585649317837,8976
6903,10542,0.46482635796972394,0.07579585649317837,8826
6904,10605,0.396260017809439,0.1056088933804952,9061
6905,10658,0.26506381715642624,0.089944416371905,9587
6906,10747,0.10240427426536064,0.04598281960586155,10311
6907,10978,0.012169783318492134,0.030823648307225872,10876
6908,11409,0,0.03436078827690753,11341
6909,10996,0,0.05154118241536129,10894
6910,10365,0,0.043961596766043456,10278
6911,9847,0,0.05406771096513391,9740
6912,9543,0,0.06316321374431531,9418
6913,8936,0,0.06265790803436079,8812
6914,8552,0,0.05507832238504295,8443
6915,8189,0,0.05103587670540677,8088
6916,8058,0,0.04446690247599798,7970
6917,8109,0,0.03183425972713492,8046
6918,8369,0,0.021728145528044467,8326
6919,9200,0,0.01414855987872663,9172
6920,10444,0,0.014653865588681153,10415
6921,10850,0.021964974769961412,0.019201616978271854,10738
6922,10911,0.12525972098545562,0.020717534108135423,10448
6923,10780,0.26773523300682694,0.021222839818089943,9836
6924,10950,0.39121401009201545,0.01616978271854472,9600
6925,10768,0.43573760759869395,0.01010611419909045,9280
6926,10662,0.45384387058474324,0.01414855987872663,9105
6927,10655,0.43870584743247254,0.020717534108135423,9136
6928,10649,0.3633125556544969,0.0358767054067711,9354
6929,10506,0.23538141881864055,0.033855482566953005,9646
6930,10661,0.09765509053131494,0.03183425972713492,10269
6931,11005,0.014247551202137132,0.03840323395654371,10881
6932,11440,0,0.03890853966649823,11363
6933,10933,0,0.046488125315816066,10841
6934,10331,0,0.04850934815563416,10235
6935,9629,0,0.05406771096513391,9522
6936,9558,0,0.05558362809499747,9448
6937,8794,0,0.06771096513390601,8660
6938,8395,0,0.10409297625063163,8189
6939,8176,0,0.12177867609903992,7935
6940,7999,0,0.07983830217281455,7841
6941,8016,0,0.03890853966649823,7939
6942,8414,0,0.024759979787771603,8365
6943,9189,0,0.01616978271854472,9157
6944,10385,0,0.013137948458817585,10359
6945,10921,0.013060255268625705,0.014653865588681153,10848
6946,10996,0.10092015434847136,0.012632642748863061,10631
6947,11004,0.25615909765509054,0.01414855987872663,10113
6948,10975,0.3689522113386762,0.011622031328954016,9709
6949,10824,0.4259424161472247,0.012632642748863061,9364
6950,10759,0.40961709706144256,0.01414855987872663,9351
6951,10601,0.37934105075690117,0.015664477008590198,9292
6952,10476,0.3048382309290591,0.017180394138453764,9415
6953,10484,0.201246660730187,0.017685699848408287,9771
6954,10432,0.08726625111308994,0.025770591207680646,10087
6955,10625,0.012763431285247848,0.049519959575543206,10484
6956,11176,0,0.09802930773117736,10982
6957,10875,0,0.12935826174835777,10619
6958,10200,0,0.13845376452753916,9926
6959,9669,0,0.1298635674583123,9412
6960,9512,0,0.11116725618999494,9292
6961,8917,0,0.10510358767054068,8709
6962,8437,0,0.1212733703890854,8197
6963,8044,0,0.11520970186963113,7816
6964,8046,0,0.10965133906013137,7829
6965,8010,0,0.09499747347145023,7822
6966,8268,0,0.09044972208185953,8089
6967,9089,0,0.09550277918140475,8900
6968,10460,0,0.12278928751894896,10217
6969,11035,0.008904719501335707,0.11773623041940375,10772
6970,11087,0.07272187592757495,0.10409297625063163,10636
6971,11092,0.1528643514395963,0.08691258211217787,10405
6972,11228,0.20985455624814486,0.09954522486104093,10324
6973,10939,0.2612051053725141,0.10864072764022234,9844
6974,10922,0.24695755417037696,0.10207175341081354,9888
6975,10932,0.20985455624814486,0.09550277918140475,10036
6976,10699,0.14989611160581776,0.09903991915108641,9998
6977,10579,0.09973285841495994,0.08842849924204144,10068
6978,10747,0.04333630157316711,0.08185952501263265,10439
6979,10944,0.004452359750667854,0.08185952501263265,10767
6980,11379,0,0.12177867609903992,11138
6981,10928,0,0.16978271854471955,10592
6982,10328,0,0.20060636685194544,9931
6983,9981,0,0.20010106114199092,9585
6984,9747,0,0.16068721576553815,9429
6985,9091,0,0.1551288529560384,8784
6986,8596,0,0.12481051035876706,8349
6987,8330,0,0.0944921677614957,8143
6988,8358,0,0.09348155634158666,8173
6989,8325,0,0.0944921677614957,8138
6990,8521,0,0.10106114199090449,8321
6991,9349,0,0.12329459322890349,9105
6992,10663,0,0.1212733703890854,10423
6993,11329,0.00682695161769071,0.10005053057099546,11108
6994,11369,0.07183140397744138,0.07276402223345124,10983
6995,11420,0.184624517661027,0.04598281960586155,10707
